patch_id,patch_id_s1,timestamp_s2,timestamp_s1,season_s2,season_s1,lon,lat,climatezone
S2A_MSIL2A_20171101T094131_25_37,S1B_IW_GRDH_1SDV_20171101T154016_35VNK_25_37,2017-11-01 09:41:31,2017-11-01 15:40:16,0.42359,0.42359,27.59809,62.72435,27
S2A_MSIL2A_20171121T112351_9_0,S1B_IW_GRDH_1SDV_20171121T064205_29SND_9_0,2017-11-21 11:23:51,2017-11-21 06:42:05,0.25986,0.25986,-8.86718,39.74479,9
S2A_MSIL2A_20180526T100031_85_22,S1A_IW_GRDH_1SDV_20180526T045642_34WFU_85_22,2018-05-26 10:00:31,2018-05-26 04:56:42,0.97444,0.97444,25.54017,66.41061,27
S2B_MSIL2A_20171112T114339_72_27,S1B_IW_GRDH_1SDV_20171112T181343_29UPU_72_27,2017-11-12 11:43:39,2017-11-12 18:13:43,0.33482,0.33482,-6.21836,52.92041,15
S2A_MSIL2A_20180527T093041_30_19,S1A_IW_GRDH_1SDV_20180525T153234_35VPK_30_19,2018-05-27 09:30:41,2018-05-25 15:32:34,0.97631,0.97251,29.68763,62.89389,27
S2B_MSIL2A_20180204T094159_16_58,S1A_IW_GRDH_1SDV_20180204T043318_35VNH_16_58,2018-02-04 09:41:59,2018-02-04 04:33:18,0.36662,0.36662,27.36235,60.70371,27
S2A_MSIL2A_20170704T112111_66_47,S1B_IW_GRDH_1SDV_20170701T182622_29SND_66_47,2017-07-04 11:21:11,2017-07-01 18:26:22,0.99382,0.99631,-8.07563,39.233,8
S2A_MSIL2A_20171208T093351_88_16,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_88_16,2017-12-08 09:33:51,2017-12-07 16:24:50,0.11651,0.12489,22.30623,43.16711,26
S2B_MSIL2A_20180509T092029_20_79,S1A_IW_GRDH_1SDV_20180511T043832_34TFN_20_79,2018-05-09 09:20:29,2018-05-11 04:38:32,0.93228,0.93826,22.51603,42.48373,26
S2A_MSIL2A_20171201T112431_19_12,S1B_IW_GRDH_1SDV_20171203T064230_29SNB_19_12,2017-12-01 11:24:31,2017-12-03 06:42:30,0.17498,0.15833,-8.73438,37.81209,8
S2A_MSIL2A_20171121T112351_29_80,S1B_IW_GRDH_1SDV_20171121T064205_29SND_29_80,2017-11-21 11:23:51,2017-11-21 06:42:05,0.25986,0.25986,-8.59211,38.87911,8
S2A_MSIL2A_20171208T093351_82_25,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_82_25,2017-12-08 09:33:51,2017-12-07 16:24:50,0.11651,0.12489,22.21575,43.07085,26
S2A_MSIL2A_20180228T101021_84_89,S1A_IW_GRDH_1SDV_20180228T154921_34WFS_84_89,2018-02-28 10:10:21,2018-02-28 15:49:21,0.55805,0.55805,25.1054,63.9022,27
S2B_MSIL2A_20170924T93020_18_15,S1A_IW_GRDH_1SDV_20170922T152425_36VVQ_18_15,2017-09-24 09:30:20,2017-09-22 15:24:25,0.68913,0.70168,31.46555,62.95425,27
S2A_MSIL2A_20170803T094031_30_11,S1A_IW_GRDH_1SDV_20170802T163350_34TCR_30_11,2017-08-03 09:40:31,2017-08-02 16:33:50,0.93427,0.93724,18.89317,45.90994,26
S2B_MSIL2A_20180417T102019_42_80,S1A_IW_GRDH_1SDV_20180417T155012_34WFV_42_80,2018-04-17 10:20:19,2018-04-17 15:50:12,0.84748,0.84748,24.42404,66.71181,27
S2B_MSIL2A_20180515T112110_61_11,S1B_IW_GRDH_1SDV_20180515T063356_29SND_61_11,2018-05-15 11:21:10,2018-05-15 06:33:56,0.94941,0.94941,-8.14038,39.62275,8
S2A_MSIL2A_20170905T095031_29_17,S1B_IW_GRDH_1SDV_20170907T043202_35VNL_29_17,2017-09-05 09:50:31,2017-09-07 04:32:02,0.79928,0.78867,27.71916,63.83691,27
S2A_MSIL2A_20180506T100031_16_28,S1A_IW_GRDH_1SDV_20180507T050948_33UWP_16_28,2018-05-06 10:00:31,2018-05-07 05:09:48,0.92282,0.92604,15.26747,48.44503,26
S2A_MSIL2A_20170905T095031_68_32,S1A_IW_GRDH_1SDV_20170903T153258_35VNL_68_32,2017-09-05 09:50:31,2017-09-03 15:32:58,0.79928,0.80965,28.6606,63.66758,27
S2B_MSIL2A_20171112T114339_60_89,S1B_IW_GRDH_1SDV_20171112T181343_29UPU_60_89,2017-11-12 11:43:39,2017-11-12 18:13:43,0.33482,0.33482,-6.4711,52.25704,15
S2B_MSIL2A_20170914T093029_33_24,S1A_IW_GRDH_1SDV_20170914T162516_34TEQ_33_24,2017-09-14 09:30:29,2017-09-14 16:25:16,0.74967,0.74967,21.50881,44.88805,25
S2B_MSIL2A_20180204T094159_55_47,S1A_IW_GRDH_1SDV_20180204T043318_35VNH_55_47,2018-02-04 09:41:59,2018-02-04 04:33:18,0.36662,0.36662,28.22403,60.81713,27
S2A_MSIL2A_20170613T101032_86_31,S1B_IW_GRDH_1SDV_20170613T044822_34VER_86_31,2017-06-13 10:10:32,2017-06-13 04:48:22,0.99749,0.99749,23.09755,63.67265,27
S2A_MSIL2A_20180318T093031_65_64,S1B_IW_GRDH_1SDV_20180318T043418_35UMB_65_64,2018-03-18 09:30:31,2018-03-18 04:34:18,0.68389,0.68389,26.66274,55.24979,26
S2A_MSIL2A_20170803T094031_39_45,S1A_IW_GRDH_1SDV_20170802T163350_34TCR_39_45,2017-08-03 09:40:31,2017-08-02 16:33:50,0.93427,0.93724,19.04519,45.54541,25
S2B_MSIL2A_20170924T93022_21_14,S1A_IW_GRDH_1SDV_20170925T043256_35VPK_21_14,2017-09-24 09:30:22,2017-09-25 04:32:56,0.68913,0.68278,29.47993,62.95158,27
S2B_MSIL2A_20180502T093039_44_69,S1A_IW_GRDH_1SDV_20180430T162450_34TEP_44_69,2018-05-02 09:30:39,2018-04-30 16:24:50,0.90928,0.90212,21.66029,43.5006,26
S2A_MSIL2A_20171208T093351_1_38,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_1_38,2017-12-08 09:33:51,2017-12-07 16:24:50,0.11651,0.12489,21.02182,42.93683,26
S2A_MSIL2A_20171121T112351_0_42,S1B_IW_GRDH_1SDV_20171121T064205_29SND_0_42,2017-11-21 11:23:51,2017-11-21 06:42:05,0.25986,0.25986,-8.99327,39.29073,9
S2B_MSIL2A_20180502T093039_90_26,S1A_IW_GRDH_1SDV_20180430T162450_34TEP_90_26,2018-05-02 09:30:39,2018-04-30 16:24:50,0.90928,0.90212,22.35337,43.9591,25
S2A_MSIL2A_20171121T112351_63_66,S1A_IW_GRDH_1SDV_20171122T063450_29SND_63_66,2017-11-21 11:23:51,2017-11-22 06:34:50,0.25986,0.25142,-8.1199,39.02789,8
S2B_MSIL2A_20180515T094029_4_12,S1A_IW_GRDH_1SDV_20180516T044113_35VNJ_4_12,2018-05-15 09:40:29,2018-05-16 04:41:13,0.94941,0.95202,27.10304,62.09709,27
S2B_MSIL2A_20180522T093029_20_39,S1A_IW_GRDH_1SDV_20180523T043321_35VPJ_20_39,2018-05-22 09:30:29,2018-05-23 04:33:21,0.9663,0.96844,29.36271,61.78596,27
S2B_MSIL2A_20170924T93020_14_89,S1B_IW_GRDH_1SDV_20170924T155419_35UMB_14_89,2017-09-24 09:30:20,2017-09-24 15:54:19,0.68913,0.68913,25.70892,54.97381,26
S2B_MSIL2A_20180204T94160_76_73,S1A_IW_GRDH_1SDV_20180206T153231_35VPK_76_73,2018-02-04 09:41:55,2018-02-06 15:32:31,0.36662,0.38336,30.69837,62.28865,27
S2A_MSIL2A_20180526T100031_81_69,S1A_IW_GRDH_1SDV_20180526T045642_34WFU_81_69,2018-05-26 10:00:31,2018-05-26 04:56:42,0.97444,0.97444,25.34546,65.90919,27
S2B_MSIL2A_20170914T093029_31_57,S1A_IW_GRDH_1SDV_20170914T162516_34TEQ_31_57,2017-09-14 09:30:29,2017-09-14 16:25:16,0.74967,0.74967,21.47549,44.5317,26
S2A_MSIL2A_20180526T100031_35_2,S1A_IW_GRDH_1SDV_20180526T045642_34WFU_35_2,2018-05-26 10:00:31,2018-05-26 04:56:42,0.97444,0.97444,24.22649,66.65887,27
S2A_MSIL2A_20180318T093031_39_49,S1B_IW_GRDH_1SDV_20180318T043418_35UMB_39_49,2018-03-18 09:30:31,2018-03-18 04:34:18,0.68389,0.68389,26.1686,55.40918,26
S2B_MSIL2A_20170924T93020_87_8,S1A_IW_GRDH_1SDV_20170922T152425_35VPK_87_8,2017-09-24 09:30:20,2017-09-22 15:24:25,0.68913,0.70168,31.0464,62.98006,27
S2B_MSIL2A_20171219T095409_1_53,S1B_IW_GRDH_1SDV_20171220T050912_33TXN_1_53,2017-12-19 09:54:09,2017-12-20 05:09:12,0.02388,0.01543,16.34578,47.26814,26
S2B_MSIL2A_20171112T114339_30_64,S1B_IW_GRDH_1SDV_20171112T181343_29UPU_30_64,2017-11-12 11:43:39,2017-11-12 18:13:43,0.33482,0.33482,-6.98593,52.5367,15
S2B_MSIL2A_20170808T094029_25_42,S1A_IW_GRDH_1SDV_20170808T043524_35ULA_25_42,2017-08-08 09:40:29,2017-08-08 04:35:24,0.91838,0.91838,24.38009,54.5603,26
S2A_MSIL2A_20171208T093351_40_75,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_40_75,2017-12-08 09:33:51,2017-12-07 16:24:50,0.11651,0.12489,21.59157,42.53546,26
S2B_MSIL2A_20170924T93021_43_10,S1A_IW_GRDH_1SDV_20170925T043256_35VPK_43_10,2017-09-24 09:30:21,2017-09-25 04:32:56,0.68913,0.68278,30.004,62.98452,27
S2B_MSIL2A_20170709T094029_22_65,S1B_IW_GRDH_1SDV_20170709T043159_35VNL_22_65,2017-07-09 09:40:29,2017-07-09 04:31:59,0.98825,0.98825,27.53857,63.32075,27
S2A_MSIL2A_20170905T095031_40_85,S1B_IW_GRDH_1SDV_20170907T043202_35VNL_40_85,2017-09-05 09:50:31,2017-09-07 04:32:02,0.79928,0.78867,27.96251,63.1031,27
S2B_MSIL2A_20180421T100029_80_49,S1A_IW_GRDH_1SDV_20180421T165046_33TWN_80_49,2018-04-21 10:00:29,2018-04-21 16:50:46,0.86549,0.86549,16.27783,47.31211,26
S2B_MSIL2A_20170927T94020_72_77,S1A_IW_GRDH_1SDV_20170928T161125_35ULB_72_77,2017-09-27 09:40:20,2017-09-28 16:11:25,0.66993,0.66343,25.22913,55.0972,26
S2A_MSIL2A_20171101T094131_68_66,S1B_IW_GRDH_1SDV_20171101T042417_35VNK_68_66,2017-11-01 09:41:31,2017-11-01 04:24:17,0.42359,0.42359,28.59022,62.4042,27
S2B_MSIL2A_20170924T93021_3_17,S1B_IW_GRDH_1SDV_20170924T044220_35UMB_3_17,2017-09-24 09:30:21,2017-09-24 04:42:20,0.68913,0.68913,25.47318,55.74756,26
S2B_MSIL2A_20180525T094029_37_0,S1A_IW_GRDH_1SDV_20180525T153259_35VNL_37_0,2018-05-25 09:40:29,2018-05-25 15:32:59,0.97251,0.97251,27.92025,64.01886,27
S2B_MSIL2A_20180525T094029_88_40,S1A_IW_GRDH_1SDV_20180525T153259_35VNL_88_40,2018-05-25 09:40:29,2018-05-25 15:32:59,0.97251,0.97251,29.13872,63.57508,27
S2A_MSIL2A_20171101T094131_22_27,S1B_IW_GRDH_1SDV_20171101T154016_35VNK_22_27,2017-11-01 09:41:31,2017-11-01 15:40:16,0.42359,0.42359,27.52962,62.83234,27
S2A_MSIL2A_20170613T101031_46_83,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_46_83,2017-06-13 10:10:31,2017-06-12 16:58:09,0.99749,0.99683,13.07299,47.83537,26
S2B_MSIL2A_20180525T94030_67_78,S1B_IW_GRDH_1SDV_20180524T042416_35VNK_67_78,2018-05-25 09:40:30,2018-05-24 04:24:16,0.97251,0.97051,28.56029,62.27525,27
S2B_MSIL2A_20170709T094029_62_39,S1B_IW_GRDH_1SDV_20170709T043159_35VNL_62_39,2017-07-09 09:40:29,2017-07-09 04:31:59,0.98825,0.98825,28.51116,63.59383,27
S2A_MSIL2A_20171208T093351_23_4,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_23_4,2017-12-08 09:33:51,2017-12-07 16:24:50,0.11651,0.12489,21.34745,43.3037,26
S2A_MSIL2A_20180413T095031_37_29,S1A_IW_GRDH_1SDV_20180413T161957_34UEG_37_29,2018-04-13 09:50:31,2018-04-13 16:19:57,0.82844,0.82844,21.71432,55.62558,26
S2B_MSIL2A_20180421T100029_27_17,S1A_IW_GRDH_1SDV_20180421T165046_33TWN_27_17,2018-04-21 10:00:29,2018-04-21 16:50:46,0.86549,0.86549,15.43927,47.66391,27
S2B_MSIL2A_20180525T94031_46_32,S1B_IW_GRDH_1SDV_20180524T154016_35VNK_46_32,2018-05-25 09:40:31,2018-05-24 15:40:16,0.97251,0.97051,28.09287,62.77523,27
S2B_MSIL2A_20180515T112110_55_29,S1B_IW_GRDH_1SDV_20180515T063356_29SND_55_29,2018-05-15 11:21:10,2018-05-15 06:33:56,0.94941,0.94941,-8.22642,39.42873,8
S2B_MSIL2A_20180417T102019_29_49,S1A_IW_GRDH_1SDV_20180417T155012_34WFV_29_49,2018-04-17 10:20:19,2018-04-17 15:50:12,0.84748,0.84748,24.11309,67.05231,27
S2B_MSIL2A_20180522T093029_3_74,S1A_IW_GRDH_1SDV_20180523T043321_35VPJ_3_74,2018-05-22 09:30:29,2018-05-23 04:33:21,0.9663,0.96844,28.95231,61.41525,27
S2A_MSIL2A_20180225T114351_65_12,S1B_IW_GRDH_1SDV_20180225T063817_29UPU_65_12,2018-02-25 11:43:51,2018-02-25 06:38:17,0.53538,0.53538,-6.33321,53.08491,15
S2A_MSIL2A_20170617T113321_72_38,S1B_IW_GRDH_1SDV_20170616T180538_29UPU_72_38,2017-06-17 11:33:21,2017-06-16 18:05:38,0.99935,0.999,-6.22593,52.80189,15
S2B_MSIL2A_20170914T093029_0_15,S1A_IW_GRDH_1SDV_20170914T162516_34TEQ_0_15,2017-09-14 09:30:29,2017-09-14 16:25:16,0.74967,0.74967,21.00736,44.9864,26
S2A_MSIL2A_20171101T094131_52_31,S1B_IW_GRDH_1SDV_20171101T153951_35VNJ_52_31,2017-11-01 09:41:31,2017-11-01 15:39:51,0.42359,0.42359,28.19805,61.88724,27
S2B_MSIL2A_20180525T94031_3_69,S1B_IW_GRDH_1SDV_20180524T154016_35VNK_3_69,2018-05-25 09:40:31,2018-05-24 15:40:16,0.97251,0.97051,27.08082,62.38093,27
S2B_MSIL2A_20180417T102019_54_21,S1A_IW_GRDH_1SDV_20180417T155012_34WFV_54_21,2018-04-17 10:20:19,2018-04-17 15:50:12,0.84748,0.84748,24.84889,67.3381,27
S2A_MSIL2A_20180526T100031_69_26,S1A_IW_GRDH_1SDV_20180526T045642_34WFU_69_26,2018-05-26 10:00:31,2018-05-26 04:56:42,0.97444,0.97444,25.10428,66.37956,27
S2B_MSIL2A_20171219T095409_38_31,S1B_IW_GRDH_1SDV_20171220T050912_33TWN_38_31,2017-12-19 09:54:09,2017-12-20 05:09:12,0.02388,0.01543,15.61331,47.51195,26
S2B_MSIL2A_20180515T094029_64_46,S1B_IW_GRDH_1SDV_20180517T154802_35VNJ_64_46,2018-05-15 09:40:29,2018-05-17 15:48:02,0.94941,0.95457,28.46417,61.72306,27
S2B_MSIL2A_20170924T093019_52_10,S1A_IW_GRDH_1SDV_20170925T043321_35VNH_52_10,2017-09-24 09:30:19,2017-09-25 04:33:21,0.68913,0.68278,28.17247,61.21625,27
S2A_MSIL2A_20170701T093031_51_11,S1B_IW_GRDH_1SDV_20170629T153202_35VPK_51_11,2017-07-01 09:30:31,2017-06-29 15:32:02,0.99631,0.99764,30.19196,62.96962,27
S2B_MSIL2A_20180421T100029_42_12,S1A_IW_GRDH_1SDV_20180421T165046_33TWN_42_12,2018-04-21 10:00:29,2018-04-21 16:50:46,0.86549,0.86549,15.67971,47.71673,27
S2B_MSIL2A_20180525T94030_8_23,S1A_IW_GRDH_1SDV_20180523T154834_35VNH_8_23,2018-05-25 09:40:30,2018-05-23 15:48:34,0.97251,0.96844,27.1887,61.08114,27
S2B_MSIL2A_20170923T100019_14_3,S1B_IW_GRDH_1SDV_20170923T164942_33TWM_14_3,2017-09-23 10:00:19,2017-09-23 16:49:42,0.69543,0.69543,15.22825,46.91569,26
S2B_MSIL2A_20170906T101020_80_71,S1A_IW_GRDH_1SDV_20170906T155749_34WFS_80_71,2017-09-06 10:10:20,2017-09-06 15:57:49,0.79401,0.79401,25.03569,64.0983,27
S2A_MSIL2A_20171221T112501_58_24,S1A_IW_GRDH_1SDV_20171221T064238_29SND_58_24,2017-12-21 11:25:01,2017-12-21 06:42:38,0.00699,0.00699,-8.18396,39.4825,8
S2B_MSIL2A_20170924T93022_3_21,S1A_IW_GRDH_1SDV_20170925T043256_35VPK_3_21,2017-09-24 09:30:22,2017-09-25 04:32:56,0.68913,0.68278,29.04922,62.88307,27
S2A_MSIL2A_20171002T94032_73_86,S1B_IW_GRDH_1SDV_20170929T045327_34TCR_73_86,2017-10-02 09:40:32,2017-09-29 04:53:27,0.63734,0.65687,19.57876,45.11043,26
S2B_MSIL2A_20180502T093039_90_60,S1A_IW_GRDH_1SDV_20180430T162450_34TEP_90_60,2018-05-02 09:30:39,2018-04-30 16:24:50,0.90928,0.90212,22.34511,43.59184,26
S2A_MSIL2A_20180506T100031_33_90,S1A_IW_GRDH_1SDV_20180507T050948_33UWP_33_90,2018-05-06 10:00:31,2018-05-07 05:09:48,0.92282,0.92604,15.53631,47.77471,26
S2B_MSIL2A_20180506T105029_42_18,S1A_IW_GRDH_1SDV_20180508T055029_31UER_42_18,2018-05-06 10:50:29,2018-05-08 05:50:29,0.92282,0.92919,3.71657,50.35043,15
S2A_MSIL2A_20171101T094131_18_42,S1B_IW_GRDH_1SDV_20171101T154016_35VNK_18_42,2017-11-01 09:41:31,2017-11-01 15:40:16,0.42359,0.42359,27.43302,62.6711,27
S2B_MSIL2A_20170924T93021_55_41,S1A_IW_GRDH_1SDV_20170925T043256_35VPK_55_41,2017-09-24 09:30:21,2017-09-25 04:32:56,0.68913,0.68278,30.25067,62.64485,27
S2B_MSIL2A_20170818T112109_26_56,S1A_IW_GRDH_1SDV_20170818T063514_29SNB_26_56,2017-08-18 11:21:09,2017-08-18 06:35:14,0.88173,0.88173,-8.64124,37.33593,9
S2B_MSIL2A_20170924T093019_88_57,S1A_IW_GRDH_1SDV_20170922T152425_35VPK_88_57,2017-09-24 09:30:19,2017-09-22 15:24:25,0.68913,0.70168,30.99813,62.45292,27
S2A_MSIL2A_20180527T093041_47_20,S1A_IW_GRDH_1SDV_20180525T153234_35VPK_47_20,2018-05-27 09:30:41,2018-05-25 15:32:34,0.97631,0.97251,30.08722,62.87493,27
S2B_MSIL2A_20170914T93030_18_64,S1A_IW_GRDH_1SDV_20170914T162451_34TEP_18_64,2017-09-14 09:30:30,2017-09-14 16:24:51,0.74967,0.74967,21.27461,43.5562,26
S2A_MSIL2A_20171101T094131_5_29,S1B_IW_GRDH_1SDV_20171101T154016_35VNK_5_29,2017-11-01 09:41:31,2017-11-01 15:40:16,0.42359,0.42359,27.12907,62.81173,27
S2B_MSIL2A_20180422T093029_66_82,S1B_IW_GRDH_1SDV_20180423T043716_34TEQ_66_82,2018-04-22 09:30:29,2018-04-23 04:37:16,0.86983,0.8741,21.99943,44.25823,26
S2B_MSIL2A_20180509T092029_36_37,S1A_IW_GRDH_1SDV_20180511T043832_34TFN_36_37,2018-05-09 09:20:29,2018-05-11 04:38:32,0.93228,0.93826,22.76233,42.93407,26
S2A_MSIL2A_20180205T100211_0_28,S1A_IW_GRDH_1SDV_20180207T045754_35VLJ_0_28,2018-02-05 10:02:11,2018-02-07 04:57:54,0.375,0.39168,23.2073,61.8725,27
S2B_MSIL2A_20180525T094029_6_4,S1B_IW_GRDH_1SDV_20180524T154041_35VNL_6_4,2018-05-25 09:40:29,2018-05-24 15:40:41,0.97251,0.97051,27.15894,63.97861,27
S2B_MSIL2A_20170914T93030_13_44,S1A_IW_GRDH_1SDV_20170914T162451_34TEP_13_44,2017-09-14 09:30:30,2017-09-14 16:24:51,0.74967,0.74967,21.20104,43.77245,26
S2B_MSIL2A_20170906T101020_74_63,S1A_IW_GRDH_1SDV_20170906T155749_34WFS_74_63,2017-09-06 10:10:20,2017-09-06 15:57:49,0.79401,0.79401,24.90037,64.18827,27
S2A_MSIL2A_20180430T094031_50_64,S1B_IW_GRDH_1SDV_20180429T163254_34TCR_50_64,2018-04-30 09:40:31,2018-04-29 16:32:54,0.90212,0.89832,19.22065,45.34305,14
S2B_MSIL2A_20170914T093029_35_83,S1A_IW_GRDH_1SDV_20170914T162516_34TEQ_35_83,2017-09-14 09:30:29,2017-09-14 16:25:16,0.74967,0.74967,21.53334,44.25055,26
S2A_MSIL2A_20170701T093031_49_87,S1B_IW_GRDH_1SDV_20170629T153137_35VPK_49_87,2017-07-01 09:30:31,2017-06-29 15:31:37,0.99631,0.99764,30.0595,62.15328,27
S2B_MSIL2A_20180421T114349_8_29,S1A_IW_GRDH_1SDV_20180420T063917_29UPU_8_29,2018-04-21 11:43:49,2018-04-20 06:39:17,0.86549,0.86108,-7.36089,52.9201,15
S2B_MSIL2A_20170801T095029_9_36,S1B_IW_GRDH_1SDV_20170801T164135_33TXN_9_36,2017-08-01 09:50:29,2017-08-01 16:41:35,0.94016,0.94016,16.47777,47.45008,26
S2B_MSIL2A_20180204T094159_75_77,S1A_IW_GRDH_1SDV_20180204T043318_35VNJ_75_77,2018-02-04 09:41:59,2018-02-04 04:33:18,0.36662,0.36662,28.69551,61.38636,27
S2B_MSIL2A_20170924T093019_45_89,S1A_IW_GRDH_1SDV_20170925T043256_35VPK_45_89,2017-09-24 09:30:19,2017-09-25 04:32:56,0.68913,0.68278,29.96541,62.13377,27
S2B_MSIL2A_20180225T105019_81_41,S1A_IW_GRDH_1SDV_20180225T055027_31UER_81_41,2018-02-25 10:50:19,2018-02-25 05:50:27,0.53538,0.53538,4.36712,50.09636,15
S2A_MSIL2A_20180318T093031_12_48,S1B_IW_GRDH_1SDV_20180318T043418_35UMB_12_48,2018-03-18 09:30:31,2018-03-18 04:34:18,0.68389,0.68389,25.65664,55.41541,26
S2B_MSIL2A_20180204T94160_78_21,S1A_IW_GRDH_1SDV_20180204T154856_35VNJ_78_21,2018-02-04 09:41:55,2018-02-04 15:48:56,0.36662,0.36662,28.79759,61.98847,27
S2A_MSIL2A_20171101T94132_16_8,S1B_IW_GRDH_1SDV_20171101T153951_35VNJ_16_8,2017-11-01 09:41:32,2017-11-01 15:39:51,0.42359,0.42359,27.37938,62.13969,27
S2B_MSIL2A_20170824T100019_52_8,S1A_IW_GRDH_1SDV_20170824T165022_33TWM_52_8,2017-08-24 10:00:19,2017-08-24 16:50:22,0.85671,0.85671,15.82624,46.85894,26
S2A_MSIL2A_20171208T093351_68_58,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_68_58,2017-12-08 09:33:51,2017-12-07 16:24:50,0.11651,0.12489,22.00363,42.7163,26
S2B_MSIL2A_20180417T102019_66_84,S1A_IW_GRDH_1SDV_20180417T155012_34WFV_66_84,2018-04-17 10:20:19,2018-04-17 15:50:12,0.84748,0.84748,25.06815,66.65334,27
S2B_MSIL2A_20170709T094029_5_67,S1B_IW_GRDH_1SDV_20170709T043159_35VNL_5_67,2017-07-09 09:40:29,2017-07-09 04:31:59,0.98825,0.98825,27.13125,63.30016,27
S2A_MSIL2A_20170816T095031_75_68,S1A_IW_GRDH_1SDV_20170816T161958_34UEG_75_68,2017-08-16 09:50:31,2017-08-16 16:19:58,0.88957,0.88957,22.42311,55.19882,26
S2B_MSIL2A_20170930T095019_72_49,S1B_IW_GRDH_1SDV_20170929T045032_34UEG_72_49,2017-09-30 09:50:19,2017-09-29 04:50:32,0.65027,0.65687,22.37362,55.40429,26
S2A_MSIL2A_20170701T093031_36_90,S1B_IW_GRDH_1SDV_20170629T153137_35VPK_36_90,2017-07-01 09:30:31,2017-06-29 15:31:37,0.99631,0.99764,29.75757,62.12729,27
S2A_MSIL2A_20180205T100211_16_57,S1A_IW_GRDH_1SDV_20180207T045754_35VLJ_16_57,2018-02-05 10:02:11,2018-02-07 04:57:54,0.375,0.39168,23.60619,61.57023,27
S2A_MSIL2A_20180228T101021_61_82,S1A_IW_GRDH_1SDV_20180228T154921_34WFS_61_82,2018-02-28 10:10:21,2018-02-28 15:49:21,0.55805,0.55805,24.55373,63.99228,27
S2B_MSIL2A_20180525T94031_21_21,S1B_IW_GRDH_1SDV_20180524T154016_35VNK_21_21,2018-05-25 09:40:31,2018-05-24 15:40:16,0.97251,0.97051,27.50718,62.89705,27
